Construction	Language	Dimension	R	P	Ocurrences	Combinations	Connections
weet	afr	Dim1cx	-0.542136055749226	1.910356017184891e-05	18		(Opaque)
verstaan	afr	Dim1lex	0.6602402328494996	4.15855086206064e-08	5		Motion
ken	afr	Dim3	0.6019780519269871	1.1645245282401663e-06	11		(Opaque)
kan	afr	Dim6	0.7039584102196411	2.027723108205507e-09	2		'be able'
agterkom	afr	Dim4	0.4168436129162065	0.0015463466869936888	1		Motion
fɨfɨrɨ	agg	Dim1cx	-0.42512938295509795	0.0012146790100557134	41	haya (2), türüfoa (1)	(Opaque)
hɨmborɨ	agg	Dim2	0.41651399858880045	0.0015610733777699762	5	haya (2), he (1), houmbo (1)	'hear'
he	agg	Dim2	0.4308555592425074	0.0010243435972795984	2	hɨmborɨ (1), türüfoa (1)	(Opaque)
arda	amf	Dim1lex	0.4320128805420723	0.0009893024850245306	2		Motion
bhoq	amf	Dim1lex	0.5613061494951702	8.269729767281464e-06	4		'think, remember'
dama	amf	Dim6	0.7039584102196411	2.027723108205507e-09	2		'be able'
Clm	arb	Dim2	0.5790806423254704	3.6267465944960184e-06	12		(Opaque)
Crf	arb	Dim3	0.5594830537644404	8.975267096523841e-06	24		(Opaque)
fhm	arb	Dim1lex	0.7445701050872235	7.197035122613196e-11	11		(Opaque)
miz	arb	Dim5	-0.5175865289015033	5.193895792057355e-05	1		Other
drk	arb	Dim1cx	0.3714119125031943	0.005241183687312757	2		Motion
drk	arb	Dim4	0.47512639408264773	0.0002468841155963807	2		Motion
kim	arn	Dim1cx	-0.43221350344624276	0.000983338888696901	40	longko (1), tuku (1)	(Opaque)
ngüne	arn	Dim1lex	0.4772983051240238	0.0002290725893430369	8	duam (8)	'direct'
ngüne	arn	Dim4	0.5743217529438571	4.543763370108999e-06	8	duam (8)	'direct'
amuya	ayr	Dim1lex	0.7540301718304838	3.0193284711225766e-11	14		'think, remember'
uñja	ayr	Dim3	0.6133604816539883	6.401454339259549e-07	13		'see'
jana	ben	Dim1cx	-0.4108371752368185	0.0018351671785900544	30	para (8)	(Opaque)
boojha	ben	Dim1lex	0.8955792483398308	2.7652452922109645e-20	13	para (9), pere (1)	(Opaque)
cina	ben	Dim3	0.7992636277100844	2.572215872062536e-13	10	para (5)	(Opaque)
bie	bvz	Dim5	-0.37050061206126206	0.005362009713744133	6		(Opaque)
ai	bvz	Dim2	0.46594695862352076	0.00033695521169733523	7	ozo (3), -bohu (3)	'hear'
ijche̱nuk	bzd	Dim2	0.5956682365010622	1.6066364601668228e-06	23		(Opaque)
a̱ne	bzd	Dim1lex	0.8092823043015747	7.583401528656878e-14	16		Motion
su	bzd	Dim3	0.4335968548577543	0.0009430904196768128	10		'see'
ttsé	bzd	Dim3	0.3714216712627789	0.005239902843292828	2		'hear'
huveūeu	caq	Dim6	0.768457304037931	7.426689328731458e-12	3		(Opaque)
’unan	cbr	Dim1cx	-0.4729279119681048	0.0002661897045393449	35		(Opaque)
sinan	cbr	Dim4	0.46042827739960157	0.00040455303094771617	3		'think, remember'
cua	cbr	Dim1lex	0.40607766334232975	0.002097239557744799	11		'hear'
ñi	cco	Dim1cx	-0.35639149837156164	0.007569812446327427	22		(Opaque)
ngá	cco	Dim1lex	0.6950225976329334	3.925641965838611e-09	8		'see'
cuíi	cco	Dim3	0.6396091987314709	1.466220105265616e-07	10		(Opaque)
ni~	cco	Dim3	0.3853238732047406	0.0036714430802255163	1	lí (1)	(Opaque)
lí'	cco	Dim1cx	0.525067857246245	3.860685305706286e-05	5		(Opaque)
lí'	cco	Dim4	0.49653337157016636	0.00011542170339641173	5		(Opaque)
хаьа	che	Dim1cx	-0.6347828496533143	1.9426815280307228e-07	22		(Opaque)
