lng;lat;long;area;nr;Type;DirValue;PropShared;UnderstandSim;UnderstandDisSim;KnowPerson;KnowPersonSee;KnowPersonSeeProp;RealiseForms;LexicalNegation;TypeKnowHow
afr;-22;30;Africa;1;Additional;-0,000346861;0,067204301;0,042929293;0,957070707;11;0;0;LexicalItem;0;Ability
agg;-3,72;141,2;Oceania;2;Regular;-0,027707322;0,537634409;0,597590488;0,402409512;4;0;0;None;0;None
amf;5,07;36,52;Africa;3;Regular;-0,000865346;0,625;0,42003367;0,57996633;0;0;0;None;0;Ability
arb;27,96;43,85;Eurasia;4;Regular;0,002856183;0,227150538;0,045454545;0,954545455;24;0;0;LexicalItem;0;None
arn;-38,74;-71,28;South America;5;Regular;-0,010595517;0,471774194;0,412037037;0,587962963;3;0;0;LexicalItem;0;None
ayr;-17;-68,5;South America;6;Regular;0,020795395;0,186827957;0,073653199;0,926346801;18;18;1;None;0;Form of complement
ben;24;90;Eurasia;7;Regular;0,100416233;0,314516129;0,160458754;0,839541246;10;0;0;None;0;None
bvz;-2,45;137,63;Oceania;8;Regular;-0,107077046;0,291666667;0,296853956;0,703146044;1;0;0;None;6;Other
bzd;9,4;-83,05;North America;9;Regular;0,048977844;0,184139785;0,138888889;0,861111111;12;0;0;None;0;None
caq;9,19;92,77;Eurasia;10;Regular;0,103319387;0,747311828;0,612794613;0,387205387;11;0;0;None;0;Distinct lexeme
car;5,84;-56,83;South America;11;Regular;0,27949763;0,865591398;0,903619529;0,096380471;14;0;0;None;0;None
cbr;-8,7;-75,42;South America;12;Regular;0,007883859;0,341397849;0,175715488;0,824284512;0;0;0;LexicalitemAndObjectMarker;0;None
cco;17,59;-96,44;North America;13;Regular;-0,001387444;0,135752688;0,067182239;0,932817761;11;0;0;LexicalItem;0;None
che;43,5;45,5;Eurasia;14;Regular;0,001064068;0,126344086;0;1;12;0;0;None;0;None
chr;35,47;-83,16;North America;15;Regular;0;0,068548387;0,042929293;0,957070707;5;0;0;None;0;Ability
cmn;40,02;116,23;Eurasia;16;Regular;0,002050454;0,284946237;0,112584175;0,887415825;12;0;0;None;0;None
ctu;17,49;-92,47;North America;17;Regular;0,008393311;0,122311828;0,093171296;0,906828704;9;0;0;None;0;None
cui;6,2;-69,82;South America;18;Regular;-0,068586325;0,754032258;0,706334175;0,293665825;8;0;0;LexicalItem;0;None
cuk;9,16;-78,31;South America;19;Regular;-0,032010565;0,154569892;0,064393939;0,935606061;18;17;0,944444444;Derivation;7;None
cul;-8,55;-70,66;South America;20;Regular;0,003790178;0,048387097;0,034511785;0,965488215;9;6;0,666666667;DerivationAndObjectMarker;9;None
cya;16,1;-97,13;North America;21;Regular;-0,168063143;0,239247312;0,094907407;0,905092593;13;13;1;None;0;None
dgr;62,38;-114,19;North America;22;Regular;0,001801148;0,208333333;0,132225028;0,867774972;4;0;0;None;2;Ability
dgz;-9,97;149,26;Oceania;23;Regular;0,006929992;0,172043011;0,201178451;0,798821549;8;8;1;None;8;None
dis;25,42;93,18;Eurasia;24;Regular;-0,004680816;0,258064516;0,25831229;0,74168771;1;0;0;None;0;Ability
dje;12,86;2,41;Africa;25;Regular;0,021362658;0,362903226;0,156986532;0,843013468;0;0;0;LexicalItem;0;Ability
dts;14,41;-3,1;Africa;26;Regular;0,001494031;0,069892473;0,126788721;0,873211279;14;0;0;ObjectMarker;9;None
enm;51,65;-1,11;Eurasia;27;Additional;0,000112007;0,380376344;0,310606061;0,689393939;31;0;0;None;0;Distinct lexeme
esu;60,31;-161,49;North America;28;Regular;0,009898182;0,231182796;0,073232323;0,926767677;3;0;0;None;34;None
eus;43,28;-1,32;Eurasia;29;Regular;-0,002303373;0,130376344;0,026515152;0,973484848;10;0;0;None;0;None
faa;-6,63;143,28;Oceania;30;Regular;-0,017606804;0,330645161;0,417613636;0,582386364;0;0;0;LexicalitemAndObjectMarker;0;None
geb;-4,26;144,71;Oceania;31;Regular;0,038593696;0,508064516;0,576494108;0,423505892;2;2;1;None;1;None
gvc;1,08;-69,57;South America;32;Regular;0,044042303;0,491935484;0,378893098;0,621106902;5;5;1;None;0;None
hop;35,77;-110,53;North America;33;Regular;-0,052634336;0,159946237;0,178556397;0,821443603;0;0;0;DerivationAndObjectMarker;0;Distinct lexeme
hun;46,91;19,66;Eurasia;34;Regular;0,087078347;0,322580645;0,087121212;0,912878788;16;0;0;None;0;None
huu;-1,14;-73,83;South America;35;Regular;0,000556423;0,391129032;0,383627946;0,616372054;0;0;0;LexicalItem;0;None
ibo;4,63;7,23;Africa;36;Regular;-0,120376994;0,766129032;0,513888889;0,486111111;8;0;0;None;0;None
icr;12,55;-81,7;South America;37;Additional;0,005918314;0,158602151;0,161616162;0,838383838;4;1;0,25;None;0;None
ium;20,83;101,17;Eurasia;38;Regular;0,017516476;0,232526882;0,123106061;0,876893939;8;0;0;None;0;Ability
jic;14,67;-87,04;North America;39;Regular;-0,00182102;0,077956989;0,099431818;0,900568182;3;3;1;None;0;None
